id,type,name,address,
0,department_store,Canadian Tire,Dundas Street West,
1,department_store,Winners,Yonge Street,
2,convenience,7-Eleven,Bloor Street West,
3,convenience,My 151 Convenience,Barton Avenue,
4,convenience,Stop 'N Shop,Bloor Street West,
5,clothes,Siberia Vintage,Bloor Street West,
6,cannabis,Tokyo Smoke,Bloor Street West,
7,convenience,Bloor Mini Mart,Bloor Street West,
8,stationery,Bloorcourt Stationary & Digital Photo Printing,Bloor Street West,
9,beauty,Aakriti,Bloor Street West,
10,vacant,Main Drug Mart,Bloor Street West,
11,convenience,77 Food Market,Hallam Street,
12,bakery,Progress Bakery,Dovercourt Road,
13,convenience,John's Variety,Dovercourt Road,
14,convenience,7-Eleven,College Street,
15,computer,Fortune Computers,College Street,
16,supermarket,Galleria The Kitchen Express,Bloor Street West,
17,supermarket,Farm Boy,St. Clair Avenue East,
18,vacant,JLL Retail for Lease,Rosehill Avenue,
19,convenience,Winona Market,Winona Drive,
20,cannabis,Spiritleaf,College Street,
21,cannabis,Cush,Queen Street West,
22,furniture,Ethan Allen,Yonge Street,
23,convenience,White Corner Variety,Roncesvalles Avenue,
24,convenience,3 Jit Variety,Bloor Street West,
25,bicycle,Bikes on Wheels,Augusta Avenue,
26,bicycle,Curbside Cycle,Bloor Street West,
27,convenience,Green Field,Roncesvalles Avenue,
28,books,University of Toronto Bookstore,College Street,
29,vacant,Esso,Church Street,
30,cannabis,One Plant,Augusta Avenue,
31,electronics,Radioworld,Steeles Avenue West,
32,convenience,Old's Cool General Store,Westlake Avenue,
33,doityourself,Lowe's,Danforth Avenue,
34,supermarket,FreshCo,Gerrard Street East,
35,stationery,Gotamago,Woodbine Avenue,
36,supermarket,Fine Food Market,Bay Street,
37,supermarket,Farm Boy,Queens Quay West,
38,supermarket,Rabba,Queens Quay West,
39,supermarket,Bruno’s Fine Foods,Queen Street East,
40,supermarket,No Frills,Eglinton Avenue East,
41,convenience,7-Eleven,Bay Street,
42,cannabis,Hemisphere Cannabis,Front Street East,
43,supermarket,Metro,Front Street East,
44,convenience,Vic's Milk,Chisholm Avenue,
45,convenience,B & D Variety Store,Doncaster Avenue,
46,convenience,Dawes & Secord Convenience,Dawes Road,
47,convenience,Plymouth Variety,St Clair Avenue East,
48,video,New Stars Video,Woodbine Avenue,
49,stationery,Staples,Danforth Avenue,
50,convenience,Ultra Convenience,Yonge Street,
51,convenience,Sunny Green Vegetable And Fruit Limited,Wellesley Street East,
52,convenience,Carlton Convenience,Carlton Street,
53,supermarket,Little Bee Supermarket,Carlton Street,
54,optician,Hakim Optical,Dundas Street East,
55,department_store,Winners,Front Street East,
56,convenience,Elm Basket Food & Variety,Elm Street,
57,hairdresser_supply,Toronto Barber & Beauty Supply,Dundas Street West,
58,convenience,Jamestown Milk,Parliament Street,
59,dry_cleaning,Metro Dry Cleaners,Danforth Avenue,
60,supermarket,The Big Carrot,Danforth Avenue,
61,car_repair,A&A Auto Clinic,Woodbine Avenue,
62,home,Kitchen & Bath Studio,Woodbine Avenue,
63,cannabis,Hemisphere Cannabis Co.,Eglinton Avenue West,
64,interior_decoration,Interior Couture,Summerhill Avenue,
65,dry_cleaning,Ashbury Cleaners,Summerhill Avenue,
66,florist,Passion Flowers,Summerhill Avenue,
67,supermarket,Galati Market Fresh,Leslie Street,
68,supermarket,Sunny Supermarket,Ravel Road,
69,supermarket,Tone Tai Supermarket,Don Mills Road East,
70,vacant,Pickle Barrel,Leslie Street,
71,supermarket,Metro,York Mills Road,
72,bakery,Nadege,Bloor Street West,
73,convenience,Convenience.com,Spadina Avenue,
74,copyshop,Three Cent Copy Centre,Spadina Avenue,
75,bakery,Rustic Bakery,Rustic Road,
76,supermarket,Loblaws,Bloor Street West,
77,supermarket,Bulk Barn,Bloor Street West,
78,cannabis,Value Buds,Bloor Street West,
79,outdoor,Enduro Sport,Eglinton Avenue East,
80,vacant,Rexall,Eglinton Avenue East,
81,alcohol,LCBO,Queen Street East,
82,bookmaker,Greenwood Off Track Wagering,Queen Street East,
83,car_repair,Lewis' Auto Service,Kingston Road,
84,medical_supply,wellwise,Danforth Avenue,
85,convenience,7-Eleven,Eglinton Avenue East,
86,car_repair,Woodbine Auto Sales & Repair,Woodbine Avenue,
87,books,BMV Books,Bloor Street West,
88,variety_store,Dollarama,Bloor Street West,
89,convenience,Annex Mart,Bloor Street West,
90,tattoo,Puedmag Inkpire Tatto Studio,Bloor Street West,
91,supermarket,Metro,Sheppard Avenue West,
92,discount,Rotblott's Discount Warehouse,Adelaide Street West,
93,cannabis,Value Buds,Queen Street West,
94,tattoo,Forever Young Ink,Queen Street West,
95,music,Cosmos Records,Queen Street West,
96,vacant,Duke of Somerset,Bay Street,
97,convenience,Daisy Mart,Dundas Street East,
98,dry_cleaning,Dundas Cleaners,Dundas Street East,
99,beauty,Luxy Nails,Woodbine Avenue,
100,convenience,Starbank Convenience Mart,Queen Street East,
101,books,Giant Book Sale,Yonge Street,
102,dry_cleaning,Lambton Cleaners,Scarlett Road,
103,hairdresser,Mario's House of Beauty,Scarlett Road,
104,convenience,Royal Variety,Scarlett Road,
105,car_repair,Mr. Lube,Finch Avenue East,
106,variety_store,Bargain Stop,Weston Road,
107,convenience,Park's Supermarket,Weston Road,
108,car,Weston Motors,Weston Road,
109,convenience,International News,Wellington Street West,
110,hairdresser,Yiannis,Woodbine Avenue,
111,flea_market,Dr. Flea's Flea Market,Westmore Drive,
112,mobile_phone,Rogers,Bloor Street West,
113,cosmetics,The Body Shop,Bloor Street West,
114,supermarket,Bulk Barn,Carlton Street,
115,hardware,Royal Home Hardware,Parliament Street,
116,convenience,Corner Discount,Parliament Street,
117,convenience,Jenny's Convenience,Parliament Street,
118,supermarket,No Frills,Carlaw Avenue,
119,car_repair,Sure Choice Auto Service Centre,Woodbine Avenue,
120,hairdresser,Silver Star Beauty Salon,Woodbine Avenue,
121,weight_loss,Curves Weight Loss Centre,Woodbine Avenue,
122,florist,Ditchon Greenhouse,Woodbine Avenue,
123,alcohol,LCBO,Coxwell Avenue,
124,medical_supply,Ace Healthcare Shop,Coxwell Avenue,
125,convenience,Lucky Spot,Danforth Avenue,
126,convenience,Carlaw Coffee & Convenience,Carlaw Avenue,
127,convenience,Everything Store,Pape Avenue,
128,car,SSR Auto Sales & Services,Pape Avenue,
129,convenience,Daisy Mart,St Clair Avenue East,
130,convenience,Dollar Variety Smoke & Gift,St Clair Avenue East,
131,cleaners,Norton Cleaners,St Clair Avenue East,
